
==================== BANG DANH GIA MASK ====================
------------------------------------------------------------------------------------
| File                     | Dice        | IoU         | Precision   | Recall      |
| 1103.png                 | 0.0708      | 0.0367      | 0.0367      | 1.0000      |
| 1104.png                 | 0.1233      | 0.0657      | 0.0657      | 1.0000      |
| 1105.png                 | 0.5647      | 0.3934      | 0.9886      | 0.3952      |
| 1106.png                 | 0.2725      | 0.1577      | 0.1691      | 0.7020      |
| 1107.png                 | 0.7680      | 0.6234      | 0.9961      | 0.6249      |
| 1108.png                 | 0.7467      | 0.5958      | 0.7929      | 0.7055      |
| 1110.png                 | 0.7860      | 0.6474      | 0.9985      | 0.6481      |
| 1111.png                 | 0.8678      | 0.7665      | 0.9753      | 0.7817      |
| 1114.png                 | 0.0547      | 0.0281      | 0.0281      | 1.0000      |
| 1118.png                 | 0.0380      | 0.0193      | 0.0193      | 1.0000      |
| 112.png                  | 0.0833      | 0.0434      | 0.0435      | 0.9857      |
| 1122.png                 | 0.0538      | 0.0277      | 0.0277      | 1.0000      |
| 1123.png                 | 0.0445      | 0.0228      | 0.0228      | 1.0000      |
| 1125.png                 | 0.0537      | 0.0276      | 0.0276      | 1.0000      |
| 1126.png                 | 0.0000      | 0.0000      | 0.0000      | 0.0000      |
| 1127.png                 | 0.0414      | 0.0211      | 0.0211      | 1.0000      |
| 1129.png                 | 0.0534      | 0.0274      | 0.0274      | 1.0000      |
| 113.png                  | 0.9393      | 0.8856      | 0.9732      | 0.9078      |
| 1130.png                 | 0.0773      | 0.0402      | 0.0402      | 1.0000      |
| 1131.png                 | 0.0874      | 0.0457      | 0.0457      | 1.0000      |
| 1132.png                 | 0.0621      | 0.0321      | 0.0321      | 1.0000      |
| 1133.png                 | 0.0520      | 0.0267      | 0.0267      | 1.0000      |
| 1134.png                 | 0.8593      | 0.7533      | 0.8816      | 0.8381      |
| 1135.png                 | 0.0367      | 0.0187      | 0.0187      | 1.0000      |
| 1136.png                 | 0.0410      | 0.0209      | 0.0209      | 1.0000      |
| 1137.png                 | 0.0464      | 0.0237      | 0.0237      | 1.0000      |
| 1138.png                 | 0.0264      | 0.0134      | 0.0134      | 1.0000      |
| 114.png                  | 0.9275      | 0.8648      | 0.9691      | 0.8893      |
| 1140.png                 | 0.8132      | 0.6852      | 0.8609      | 0.7705      |
| 1141.png                 | 0.8378      | 0.7209      | 0.8309      | 0.8449      |
| 1142.png                 | 0.8149      | 0.6876      | 0.7438      | 0.9009      |
| 1143.png                 | 0.0570      | 0.0293      | 0.0293      | 1.0000      |
| 1144.png                 | 0.7491      | 0.5988      | 0.6884      | 0.8215      |
| 1145.png                 | 0.8066      | 0.6759      | 0.7528      | 0.8687      |
| 1146.png                 | 0.9151      | 0.8435      | 0.9851      | 0.8544      |
| 1147.png                 | 0.8545      | 0.7459      | 0.9135      | 0.8026      |
| 1148.png                 | 0.7352      | 0.5813      | 0.6554      | 0.8372      |
| 1149.png                 | 0.5251      | 0.3560      | 0.9697      | 0.3600      |
| 115.png                  | 0.9605      | 0.9241      | 0.9884      | 0.9342      |
| 1151.png                 | 0.0238      | 0.0121      | 0.0121      | 1.0000      |
| 1152.png                 | 0.3836      | 0.2373      | 0.2448      | 0.8859      |
| 1154.png                 | 0.0390      | 0.0199      | 0.0199      | 1.0000      |
| 1155.png                 | 0.0394      | 0.0201      | 0.0201      | 1.0000      |
| 1156.png                 | 0.0397      | 0.0203      | 0.0203      | 1.0000      |
| 1157.png                 | 0.9015      | 0.8206      | 0.8802      | 0.9238      |
| 1158.png                 | 0.0845      | 0.0441      | 0.0441      | 1.0000      |
| 1159.png                 | 0.0813      | 0.0424      | 0.0424      | 1.0000      |
| 116.png                  | 0.9014      | 0.8205      | 0.8885      | 0.9147      |
| 1160.png                 | 0.0515      | 0.0264      | 0.0264      | 1.0000      |
