
==================== BANG DANH GIA MASK ====================
------------------------------------------------------------------------------------
| File                     | Dice        | IoU         | Precision   | Recall      |
------------------------------------------------------------------------------------
| 1.png                    | 0.7865      | 0.6481      | 0.9448      | 0.6737      |
| 10.png                   | 0.7970      | 0.6625      | 1.0000      | 0.6625      |
| 100.png                  | 0.2648      | 0.1526      | 0.3198      | 0.2260      |
| 1000.png                 | 0.7935      | 0.6577      | 0.7044      | 0.9086      |
| 1001.png                 | 0.8110      | 0.6821      | 0.7714      | 0.8549      |
| 1002.png                 | 0.8410      | 0.7256      | 0.9980      | 0.7267      |
| 1003.png                 | 0.7860      | 0.6475      | 0.8167      | 0.7576      |
| 1004.png                 | 0.8469      | 0.7344      | 0.8610      | 0.8332      |
| 1005.png                 | 0.8646      | 0.7615      | 0.9732      | 0.7779      |
| 1006.png                 | 0.7387      | 0.5856      | 0.6742      | 0.8168      |
| 1007.png                 | 0.7781      | 0.6367      | 0.6929      | 0.8871      |
| 1008.png                 | 0.8864      | 0.7959      | 0.9307      | 0.8460      |
| 1009.png                 | 0.8420      | 0.7271      | 0.9763      | 0.7402      |
| 101.png                  | 0.7299      | 0.5747      | 0.7016      | 0.7605      |
| 1010.png                 | 0.8035      | 0.6716      | 0.7777      | 0.8311      |
| 1011.png                 | 0.7405      | 0.5880      | 0.7155      | 0.7674      |
| 1012.png                 | 0.6521      | 0.4838      | 0.8671      | 0.5226      |
| 1013.png                 | 0.6831      | 0.5188      | 0.5578      | 0.8811      |
| 1017.png                 | 0.4699      | 0.3071      | 0.5370      | 0.4177      |
| 1018.png                 | 0.8274      | 0.7057      | 1.0000      | 0.7057      |
| 1019.png                 | 0.9510      | 0.9066      | 0.9982      | 0.9081      |
| 102.png                  | 0.8748      | 0.7775      | 0.9358      | 0.8214      |
| 1020.png                 | 0.9401      | 0.8871      | 0.9797      | 0.9036      |
| 1021.png                 | 0.8563      | 0.7487      | 0.9056      | 0.8121      |
| 1022.png                 | 0.8704      | 0.7705      | 0.7911      | 0.9673      |
| 1023.png                 | 0.9077      | 0.8311      | 0.9887      | 0.8391      |
| 1024.png                 | 0.7777      | 0.6362      | 0.8782      | 0.6978      |
| 1025.png                 | 0.8273      | 0.7054      | 0.7424      | 0.9341      |
| 1026.png                 | 0.5974      | 0.4260      | 0.4391      | 0.9343      |
| 1027.png                 | 0.1534      | 0.0831      | 0.2188      | 0.1181      |
| 103.png                  | 0.7041      | 0.5433      | 0.9956      | 0.5446      |
| 1032.png                 | 0.5219      | 0.3531      | 0.7013      | 0.4156      |
| 1033.png                 | 0.8365      | 0.7190      | 0.8185      | 0.8553      |
| 1035.png                 | 0.9150      | 0.8433      | 0.9799      | 0.8582      |
| 1036.png                 | 0.9037      | 0.8243      | 0.9803      | 0.8382      |
| 1037.png                 | 0.9199      | 0.8517      | 0.9854      | 0.8626      |
| 1038.png                 | 0.9100      | 0.8348      | 0.9416      | 0.8805      |
| 1039.png                 | 0.9141      | 0.8418      | 0.9690      | 0.8651      |
| 1040.png                 | 0.8317      | 0.7119      | 0.9118      | 0.7645      |
| 1041.png                 | 0.7992      | 0.6655      | 0.9991      | 0.6659      |
| 1042.png                 | 0.7678      | 0.6231      | 0.9659      | 0.6372      |
| 1043.png                 | 0.1348      | 0.0723      | 0.9907      | 0.0723      |
| 1045.png                 | 0.9160      | 0.8450      | 0.9892      | 0.8528      |
