
==================== BANG DANH GIA MASK ====================
------------------------------------------------------------------------------------
| File                     | Dice        | IoU         | Precision   | Recall      | 
| 1101.png                 | 0.3482      | 0.2108      | 1.0000      | 0.2108      | 
| 1102.png                 | 0.3820      | 0.2361      | 1.0000      | 0.2361      | 
| 1103.png                 | 0.1452      | 0.0783      | 1.0000      | 0.0783      | 
| 1104.png                 | 0.2464      | 0.1405      | 0.2394      | 0.2537      | 
| 1105.png                 | 0.0571      | 0.0294      | 0.0319      | 0.2692      | 
| 1106.png                 | 0.0004      | 0.0002      | 0.0002      | 0.0020      | 
| 1107.png                 | 0.0173      | 0.0087      | 0.0096      | 0.0883      | 
| 1108.png                 | 0.5007      | 0.3339      | 0.8490      | 0.3550      | 
| 1110.png                 | 0.0518      | 0.0266      | 0.0469      | 0.0578      | 
| 1111.png                 | 0.0065      | 0.0033      | 0.0033      | 0.1750      | 
| 1114.png                 | 0.0000      | 0.0000      | 0.0000      | 0.0000      | 
| 1118.png                 | 0.0000      | 0.0000      | 0.0000      | 0.0000      | 
| 112.png                  | 0.0142      | 0.0072      | 0.0076      | 0.1103      | 
| 1122.png                 | 0.8936      | 0.8077      | 0.9820      | 0.8198      | 
| 1123.png                 | 0.8068      | 0.6761      | 0.8313      | 0.7837      | 
| 1125.png                 | 0.7291      | 0.5737      | 0.6413      | 0.8448      | 
| 1126.png                 | 0.8879      | 0.7984      | 0.8802      | 0.8958      | 
| 1127.png                 | 0.7939      | 0.6582      | 0.7367      | 0.8606      | 
| 1129.png                 | 0.6139      | 0.4429      | 1.0000      | 0.4429      | 
| 113.png                  | 0.0136      | 0.0069      | 0.0071      | 0.1531      | 
| 1130.png                 | 0.8294      | 0.7085      | 0.9864      | 0.7155      | 
| 1131.png                 | 0.8538      | 0.7449      | 0.9894      | 0.7509      | 
| 1132.png                 | 0.9037      | 0.8243      | 0.9598      | 0.8538      | 
| 1133.png                 | 0.7848      | 0.6458      | 0.9920      | 0.6492      | 
| 1134.png                 | 0.6673      | 0.5007      | 0.9717      | 0.5081      | 
| 1135.png                 | 0.8464      | 0.7336      | 0.9093      | 0.7916      | 
| 1136.png                 | 0.8777      | 0.7820      | 0.9166      | 0.8419      | 
| 1137.png                 | 0.8294      | 0.7085      | 0.9733      | 0.7225      | 
| 1138.png                 | 0.5229      | 0.3540      | 0.8783      | 0.3723      | 
| 114.png                  | 0.0054      | 0.0027      | 0.0030      | 0.0330      | 
| 1140.png                 | 0.5551      | 0.3842      | 0.8750      | 0.4065      | 
| 1141.png                 | 0.6272      | 0.4569      | 0.8165      | 0.5092      | 
| 1142.png                 | 0.7296      | 0.5743      | 0.8455      | 0.6417      | 
| 1143.png                 | 0.5632      | 0.3920      | 0.9883      | 0.3938      | 
| 1144.png                 | 0.0003      | 0.0001      | 0.0001      | 0.0057      | 
| 1145.png                 | 0.0009      | 0.0004      | 0.0005      | 0.0157      | 
| 1146.png                 | 0.0053      | 0.0027      | 0.0028      | 0.0406      | 
| 1147.png                 | 0.0024      | 0.0012      | 0.0012      | 0.0465      | 
| 1148.png                 | 0.0004      | 0.0002      | 0.0002      | 0.0090      | 
