
==================== BANG DANH GIA MASK ====================
------------------------------------------------------------------------------------
| File                     | Dice        | IoU         | Precision   | Recall      |
| 1103.png                 | 0.5091      | 0.3414      | 0.8399      | 0.3652      |
| 1104.png                 | 0.3841      | 0.2377      | 1.0000      | 0.2377      |
| 1105.png                 | 0.4734      | 0.3101      | 0.9927      | 0.3108      |
| 1106.png                 | 0.6799      | 0.5150      | 0.9903      | 0.5177      |
| 1107.png                 | 0.7288      | 0.5733      | 0.9958      | 0.5747      |
| 1108.png                 | 0.7047      | 0.5441      | 0.8875      | 0.5844      |
| 1110.png                 | 0.7453      | 0.5940      | 0.9992      | 0.5943      |
| 1111.png                 | 0.7732      | 0.6303      | 0.9878      | 0.6352      |
| 1114.png                 | 0.8151      | 0.6879      | 0.7210      | 0.9373      |
| 1118.png                 | 0.3592      | 0.2189      | 0.7018      | 0.2414      |
| 112.png                  | 0.8635      | 0.7597      | 0.9194      | 0.8139      |
| 1122.png                 | 0.9196      | 0.8511      | 0.9680      | 0.8758      |
| 1123.png                 | 0.8467      | 0.7341      | 0.8764      | 0.8189      |
| 1125.png                 | 0.7485      | 0.5980      | 0.6512      | 0.8800      |
| 1126.png                 | 0.7549      | 0.6064      | 0.6288      | 0.9443      |
| 1127.png                 | 0.7654      | 0.6200      | 0.6535      | 0.9236      |
| 1129.png                 | 0.7861      | 0.6475      | 0.9987      | 0.6481      |
| 113.png                  | 0.9086      | 0.8326      | 0.9924      | 0.8379      |
| 1130.png                 | 0.9265      | 0.8631      | 0.9765      | 0.8814      |
| 1131.png                 | 0.9279      | 0.8655      | 0.9914      | 0.8720      |
| 1132.png                 | 0.9364      | 0.8803      | 0.9633      | 0.9109      |
| 1133.png                 | 0.7474      | 0.5967      | 0.7677      | 0.7281      |
| 1134.png                 | 0.8436      | 0.7295      | 0.9804      | 0.7403      |
| 1135.png                 | 0.8777      | 0.7821      | 0.8411      | 0.9177      |
| 1136.png                 | 0.8491      | 0.7378      | 0.7760      | 0.9373      |
| 1137.png                 | 0.8761      | 0.7795      | 0.9668      | 0.8009      |
| 1138.png                 | 0.3717      | 0.2283      | 0.2878      | 0.5246      |
| 114.png                  | 0.9239      | 0.8586      | 0.9817      | 0.8725      |
| 1140.png                 | 0.7553      | 0.6069      | 0.8780      | 0.6628      |
| 1141.png                 | 0.7679      | 0.6233      | 0.8477      | 0.7019      |
| 1142.png                 | 0.8116      | 0.6829      | 0.8519      | 0.7749      |
| 1143.png                 | 0.7144      | 0.5557      | 0.9704      | 0.5653      |
| 1144.png                 | 0.8053      | 0.6741      | 0.8040      | 0.8067      |
| 1145.png                 | 0.8309      | 0.7108      | 0.8067      | 0.8567      |
| 1146.png                 | 0.9106      | 0.8358      | 0.9876      | 0.8447      |
| 1147.png                 | 0.8356      | 0.7177      | 0.9304      | 0.7584      |
| 1148.png                 | 0.4162      | 0.2628      | 0.9762      | 0.2645      |
| 1149.png                 | 0.5108      | 0.3430      | 0.9905      | 0.3441      |
| 115.png                  | 0.9094      | 0.8339      | 1.0000      | 0.8339      |
| 1151.png                 | 0.6657      | 0.4990      | 0.6664      | 0.6651      |
| 1152.png                 | 0.4028      | 0.2522      | 0.2789      | 0.7245      |
| 1154.png                 | 0.9164      | 0.8458      | 0.9224      | 0.9105      |
| 1155.png                 | 0.4742      | 0.3108      | 0.3163      | 0.9476      |
| 1156.png                 | 0.6027      | 0.4313      | 0.4765      | 0.8197      |
| 1157.png                 | 0.9195      | 0.8510      | 0.9606      | 0.8817      |
| 1158.png                 | 0.8812      | 0.7876      | 0.9915      | 0.7930      |
| 1159.png                 | 0.8967      | 0.8128      | 0.9907      | 0.8190      |
| 116.png                  | 0.8781      | 0.7826      | 0.9938      | 0.7864      |
| 1160.png                 | 0.8606      | 0.7553      | 0.8225      | 0.9023      |
| 1161.png                 | 0.8444      | 0.7308      | 0.8557      | 0.8335      |
| 1162.png                 | 0.8331      | 0.7139      | 0.9891      | 0.7195      |
| 1163.png                 | 0.8783      | 0.7831      | 0.8798      | 0.8769      |
| 1169.png                 | 0.9271      | 0.8641      | 0.9591      | 0.8972      |
| 117.png                  | 0.4833      | 0.3187      | 0.9615      | 0.3228      |
| 1170.png                 | 0.9560      | 0.9157      | 0.9652      | 0.9470      |
| 1171.png                 | 0.9403      | 0.8873      | 0.9822      | 0.9018      |
| 1172.png                 | 0.9466      | 0.8986      | 0.9803      | 0.9151      |
| 1173.png                 | 0.9651      | 0.9326      | 0.9944      | 0.9375      |
| 1174.png                 | 0.9569      | 0.9173      | 0.9879      | 0.9277      |
| 1175.png                 | 0.8160      | 0.6892      | 0.7592      | 0.8821      |
| 1176.png                 | 0.8010      | 0.6681      | 0.9564      | 0.6891      |
| 1177.png                 | 0.6687      | 0.5023      | 0.5357      | 0.8897      |
| 1178.png                 | 0.7302      | 0.5750      | 0.6081      | 0.9137      |
| 1179.png                 | 0.7512      | 0.6015      | 0.6452      | 0.8990      |
| 118.png                  | 0.9085      | 0.8323      | 0.9953      | 0.8356      |
| 1180.png                 | 0.6856      | 0.5216      | 0.5484      | 0.9143      |
| 1182.png                 | 0.4144      | 0.2613      | 0.2777      | 0.8156      |
| 1183.png                 | 0.7635      | 0.6174      | 0.6790      | 0.8720      |
| 1184.png                 | 0.7855      | 0.6467      | 0.6669      | 0.9554      |
| 1185.png                 | 0.8734      | 0.7752      | 0.8422      | 0.9068      |
| 1186.png                 | 0.9241      | 0.8590      | 0.9786      | 0.8754      |
| 1187.png                 | 0.7776      | 0.6362      | 0.6824      | 0.9037      |
| 1188.png                 | 0.6197      | 0.4490      | 0.5305      | 0.7451      |
| 1194.png                 | 0.6618      | 0.4945      | 0.5658      | 0.7969      |
| 1195.png                 | 0.5811      | 0.4095      | 0.4841      | 0.7267      |
| 1197.png                 | 0.5393      | 0.3692      | 0.3945      | 0.8519      |
| 12.png                   | 0.9659      | 0.9340      | 0.9826      | 0.9497      |
| 1202.png                 | 0.3646      | 0.2229      | 0.2627      | 0.5956      |
| 1205.png                 | 0.8627      | 0.7585      | 1.0000      | 0.7585      |
| 1219.png                 | 0.6448      | 0.4758      | 0.5302      | 0.8227      |
| 1220.png                 | 0.8629      | 0.7589      | 0.9445      | 0.7943      |
| 1221.png                 | 0.8319      | 0.7121      | 0.9479      | 0.7411      |
| 1222.png                 | 0.8139      | 0.6863      | 0.8954      | 0.7461      |
| 1223.png                 | 0.7809      | 0.6406      | 0.9291      | 0.6736      |
| 1224.png                 | 0.4705      | 0.3076      | 0.3468      | 0.7314      |
| 1225.png                 | 0.4886      | 0.3233      | 0.9189      | 0.3328      |
| 1226.png                 | 0.7970      | 0.6625      | 0.9657      | 0.6785      |
