| Anh         | Dice      | IoU       |
| 487.png     | 0| 0 |
| 490.png     | 0| 0 |
| 496.png     | 0| 0 |
| 497.png     | 0| 0 |
| 498.png     | 0| 0 |
| 499.png     | 0| 0 |
| 5.png       | 0| 0 |
| 500.png     | 0| 0 |
| 501.png     | 0| 0 |
| 502.png     | 0| 0 |
| 503.png     | 0| 0 |
| 504.png     | 0| 0 |
| 508.png     | 0| 0 |
| 51.png      | 0| 0 |
| 510.png     | 0| 0 |
| 511.png     | 0| 0 |
| 512.png     | 0| 0 |
| 513.png     | 0| 0 |
| 515.png     | 0| 0 |
| 517.png     | 0| 0 |
| 532.png     | 0| 0 |
| 537.png     | 0| 0 |
| 538.png     | 0| 0 |
| 541.png     | 0| 0 |
| 551.png     | 0| 0 |
| 552.png     | 0| 0 |
| 553.png     | 0| 0 |
| 554.png     | 0| 0 |
| 555.png     | 0| 0 |
| 556.png     | 0| 0 |
| 557.png     | 0| 0 |
| 563.png     | 0| 0 |
| 566.png     | 0| 0 |
| 567.png     | 0| 0 |
| 569.png     | 0| 0 |
| 575.png     | 0| 0 |
| 576.png     | 0| 0 |
| 582.png     | 0| 0 |
| 584.png     | 0| 0 |
| 585.png     | 0| 0 |
| 59.png      | 0| 0 |
| 597.png     | 0| 0 |
| 598.png     | 0| 0 |
| 6.png       | 0| 0 |
| 60.png      | 0| 0 |
| 61.png      | 0| 0 |
| 619.png     | 0| 0 |
| 62.png      | 0| 0 |
| 621.png     | 0| 0 |
| 622.png     | 0| 0 |
| 628.png     | 0| 0 |
| 63.png      | 0| 0 |
| 631.png     | 0| 0 |
| 632.png     | 0| 0 |
| 635.png     | 0| 0 |
| 636.png     | 0| 0 |
| 637.png     | 0| 0 |
| 638.png     | 0| 0 |
| 64.png      | 0| 0 |
| 642.png     | 0| 0 |
| 643.png     | 0| 0 |
| 644.png     | 0| 0 |
| 645.png     | 0| 0 |
| 646.png     | 0| 0 |
| 647.png     | 0| 0 |
| 649.png     | 0| 0 |
| 65.png      | 0| 0 |
| 650.png     | 0| 0 |
| 651.png     | 0| 0 |
| 652.png     | 0| 0 |
| 66.png      | 0| 0 |
| 673.png     | 0| 0 |
| 674.png     | 0| 0 |
| 7.png       | 0| 0 |
| 713.png     | 0| 0 |
| 714.png     | 0| 0 |
| 736.png     | 0| 0 |
| 743.png     | 0| 0 |
| 744.png     | 0| 0 |
| 753.png     | 0| 0 |
| 754.png     | 0.00893132           | 0.00448569            |
| 755.png     | 0| 0 |
| 756.png     | 0| 0 |
| 765.png     | 0| 0 |
| 772.png     | 0| 0 |
| 786.png     | 0| 0 |
| 787.png     | 0| 0 |
| 788.png     | 0| 0 |
| 789.png     | 0| 0 |
| 79.png      | 0| 0 |
| 796.png     | 0| 0 |
| 8.png       | 0| 0 |
| 802.png     | 0| 0 |
| 816.png     | 0| 0 |
| 819.png     | 0.00437774           | 0.00219367            |
| 82.png      | 0| 0 |
| 820.png     | 0.0288301          | 0.0146259           |
| 822.png     | 0| 0 |
| 823.png     | 0| 0 |
| 826.png     | 0| 0 |
| 827.png     | 0| 0 |
| 829.png     | 0| 0 |
| 83.png      | 0| 0 |
| 830.png     | 0| 0 |
| 831.png     | 0| 0 |
| 832.png     | 0| 0 |
| 833.png     | 0| 0 |
| 843.png     | 0| 0 |
| 846.png     | 0| 0 |
| 847.png     | 0| 0 |
| 848.png     | 0| 0 |
| 851.png     | 0| 0 |
| 852.png     | 0.173615          | 0.0950594           |
| 853.png     | 0| 0 |
| 854.png     | 0| 0 |
| 860.png     | 0| 0 |
| 861.png     | 0| 0 |
| 862.png     | 0| 0 |
| 868.png     | 0| 0 |
| 870.png     | 0| 0 |
| 872.png     | 0.0973764          | 0.0511801           |
| 904.png     | 0| 0 |
| 909.png     | 0| 0 |
| 918.png     | 0| 0 |
| 92.png      | 0.0112494          | 0.0056565            |
| 920.png     | 0| 0 |
| 922.png     | 0| 0 |
| 923.png     | 0| 0 |
| 924.png     | 0| 0 |
| 925.png     | 0| 0 |
| 926.png     | 0| 0 |
| 927.png     | 0| 0 |
| 928.png     | 0| 0 |
| 929.png     | 0| 0 |
| 930.png     | 0| 0 |
| 931.png     | 0| 0 |
| 932.png     | 0| 0 |
| 933.png     | 0| 0 |
| 934.png     | 0| 0 |
| 935.png     | 0| 0 |
| 936.png     | 0| 0 |
| 937.png     | 0| 0 |
| 938.png     | 0| 0 |
| 94.png      | 0| 0 |
| 947.png     | 0| 0 |
| 948.png     | 0| 0 |
| 949.png     | 0| 0 |
| 95.png      | 0| 0 |
| 950.png     | 0| 0 |
| 951.png     | 0| 0 |
| 965.png     | 0| 0 |
| 966.png     | 0| 0 |
| 967.png     | 0| 0 |
| 968.png     | 0| 0 |
| 969.png     | 0| 0 |
| 97.png      | 0| 0 |
| 970.png     | 0| 0 |
| 971.png     | 0| 0 |
| 972.png     | 0| 0 |
| 973.png     | 0| 0 |
| 975.png     | 0| 0 |
| 977.png     | 0.107527          | 0.0568182           |
| 978.png     | 0| 0 |
| 982.png     | 0| 0 |
| 990.png     | 0| 0 |
| 991.png     | 0| 0 |
| 992.png     | 0| 0 |
| 993.png     | 0| 0 |
| 994.png     | 0| 0 |
| 995.png     | 0| 0 |
| 996.png     | 0| 0 |
| 997.png     | 0| 0 |
| 998.png     | 0| 0 |
| 999.png     | 0| 0 |
| Trung binh  | 0.0241012 | 0.0168003 |
