| Anh         | Dice      | IoU       |
| 1261.png    | 0| 0 |
| 1262.png    | 0| 0 |
| 1264.png    | 0| 0 |
| 1265.png    | 0| 0 |
| 1266.png    | 0| 0 |
| 1273.png    | 0| 0 |
| 1274.png    | 0| 0 |
| 1276.png    | 0| 0 |
| 1277.png    | 0| 0 |
| 1278.png    | 0| 0 |
| 1281.png    | 0| 0 |
| 1282.png    | 0| 0 |
| 1285.png    | 0| 0 |
| 1286.png    | 0| 0 |
| 1287.png    | 0.00859623           | 0.00431667            |
| 1289.png    | 0| 0 |
| 1291.png    | 0| 0 |
| 1293.png    | 0| 0 |
| 1294.png    | 0| 0 |
| 1296.png    | 0.00646784           | 0.00324441            |
| 1297.png    | 0.0574351          | 0.0295666           |
| 1298.png    | 0.00920387           | 0.00462321            |
| 1299.png    | 0| 0 |
| 13.png      | 0| 0 |
| 1300.png    | 0| 0 |
| 1302.png    | 0| 0 |
| 1303.png    | 0| 0 |
| 1304.png    | 0| 0 |
| 1305.png    | 0| 0 |
| 1307.png    | 0| 0 |
| 1308.png    | 0| 0 |
| 1309.png    | 0| 0 |
| 1310.png    | 0| 0 |
| 1311.png    | 0| 0 |
| 1312.png    | 0| 0 |
| 1313.png    | 0| 0 |
| 1314.png    | 0| 0 |
| 1315.png    | 0| 0 |
| 1317.png    | 0| 0 |
| 1318.png    | 0| 0 |
| 1319.png    | 0| 0 |
| 132.png     | 0| 0 |
| 1320.png    | 0| 0 |
| 1321.png    | 0| 0 |
| 1322.png    | 0| 0 |
| 1323.png    | 0| 0 |
| 1324.png    | 0| 0 |
| 1325.png    | 0| 0 |
| 1326.png    | 0.0121564          | 0.00611539            |
| 1327.png    | 0| 0 |
| 1328.png    | 0| 0 |
| 1329.png    | 0| 0 |
| 133.png     | 0| 0 |
| 1330.png    | 0| 0 |
| 1333.png    | 0| 0 |
| 1334.png    | 0| 0 |
| 1335.png    | 0| 0 |
| 1337.png    | 0| 0 |
| 134.png     | 0| 0 |
| 1345.png    | 0| 0 |
| 1348.png    | 0.00357782           | 0.00179211            |
| 1349.png    | 0| 0 |
| 1350.png    | 0| 0 |
| 1353.png    | 0| 0 |
| 1354.png    | 0| 0 |
| 1355.png    | 0| 0 |
| 1356.png    | 0| 0 |
| 1357.png    | 0| 0 |
| 1358.png    | 0| 0 |
| 1359.png    | 0| 0 |
| 1370.png    | 0| 0 |
| 1371.png    | 0| 0 |
| 1372.png    | 0| 0 |
| 1373.png    | 0| 0 |
| 1374.png    | 0| 0 |
| 1375.png    | 0| 0 |
| 1376.png    | 0| 0 |
| 1377.png    | 0| 0 |
| 1378.png    | 0| 0 |
| 1379.png    | 0| 0 |
| 1380.png    | 0| 0 |
| 1381.png    | 0.461176          | 0.299694           |
| 1382.png    | 0.22142          | 0.124493           |
| 1389.png    | 0| 0 |
| 139.png     | 0| 0 |
| 1390.png    | 0| 0 |
| 1397.png    | 0| 0 |
| 14.png      | 0| 0 |
| 140.png     | 0| 0 |
| 1405.png    | 0| 0 |
| 1406.png    | 0| 0 |
| 1407.png    | 0| 0 |
| 1409.png    | 0| 0 |
| 1410.png    | 0.00675866           | 0.00339079            |
| 1411.png    | 0.108521          | 0.0573737           |
| 1412.png    | 0.164474          | 0.0896057           |
| 1414.png    | 0| 0 |
| 1415.png    | 0| 0 |
| 1416.png    | 0| 0 |
| 1417.png    | 0| 0 |
| 1418.png    | 0| 0 |
| 1419.png    | 0| 0 |
| 142.png     | 0.349951          | 0.212085           |
| 1420.png    | 0| 0 |
| 1422.png    | 0| 0 |
| 1424.png    | 0.0313927          | 0.0159467           |
| 1426.png    | 0| 0 |
| 1427.png    | 0.00488798           | 0.00244998            |
| 1428.png    | 0| 0 |
| 1429.png    | 0| 0 |
| 143.png     | 0.248542          | 0.141906           |
| 1432.png    | 0| 0 |
| 1433.png    | 0.00698603           | 0.00350526            |
| 1435.png    | 0| 0 |
| 1436.png    | 0| 0 |
| 1437.png    | 0| 0 |
| 1438.png    | 0| 0 |
| 1439.png    | 0| 0 |
| 1442.png    | 0| 0 |
| 1443.png    | 0| 0 |
| 1444.png    | 0| 0 |
| 1445.png    | 0| 0 |
| 1446.png    | 0| 0 |
| 1450.png    | 0| 0 |
| 1451.png    | 0| 0 |
| 1452.png    | 0| 0 |
| 1453.png    | 0| 0 |
| 1454.png    | 0| 0 |
| 1455.png    | 0| 0 |
| 1456.png    | 0| 0 |
| 1457.png    | 0| 0 |
| 1458.png    | 0| 0 |
| 1460.png    | 0.00183402           | 0.000917852             |
| 1461.png    | 0.00815328           | 0.00409333            |
| 1462.png    | 0.0360134          | 0.0183369           |
| 1469.png    | 0| 0 |
| 147.png     | 0| 0 |
| 1470.png    | 0| 0 |
| 1472.png    | 0| 0 |
| 1473.png    | 0| 0 |
| 1474.png    | 0| 0 |
| 1476.png    | 0.809964          | 0.680622           |
| 1477.png    | 0.785961          | 0.647393           |
| 1478.png    | 0| 0 |
| 1479.png    | 0| 0 |
| 1480.png    | 0| 0 |
| 1481.png    | 0.00129618           | 0.000648508             |
