
==================== BANG DANH GIA MASK ====================
------------------------------------------------------------------------------------
| File                     | Dice        | IoU         | Precision   | Recall      | 
| 1101.png                 | 0.6791      | 0.5141      | 0.9096      | 0.5418      | 
| 1102.png                 | 0.6951      | 0.5327      | 0.9957      | 0.5339      | 
| 1103.png                 | 0.5440      | 0.3737      | 0.8396      | 0.4024      | 
| 1104.png                 | 0.4627      | 0.3010      | 0.9643      | 0.3043      | 
| 1105.png                 | 0.4881      | 0.3229      | 0.9917      | 0.3237      | 
| 1106.png                 | 0.7151      | 0.5566      | 0.9910      | 0.5594      | 
| 1107.png                 | 0.7523      | 0.6030      | 0.9931      | 0.6056      | 
| 1108.png                 | 0.7199      | 0.5624      | 0.8725      | 0.6128      | 
| 1110.png                 | 0.7551      | 0.6065      | 0.9992      | 0.6068      | 
| 1111.png                 | 0.7797      | 0.6389      | 0.9825      | 0.6462      | 
| 1114.png                 | 0.8014      | 0.6687      | 0.6947      | 0.9469      | 
| 1118.png                 | 0.9066      | 0.8292      | 0.8672      | 0.9498      | 
| 112.png                  | 0.8647      | 0.7617      | 0.9111      | 0.8228      | 
| 1122.png                 | 0.9318      | 0.8723      | 0.9641      | 0.9016      | 
| 1123.png                 | 0.7673      | 0.6224      | 0.7150      | 0.8278      | 
| 1125.png                 | 0.5972      | 0.4257      | 0.4465      | 0.9012      | 
| 1126.png                 | 0.6787      | 0.5137      | 0.5271      | 0.9527      | 
| 1127.png                 | 0.7550      | 0.6064      | 0.6344      | 0.9322      | 
| 1129.png                 | 0.7889      | 0.6514      | 0.9987      | 0.6520      | 
| 113.png                  | 0.9132      | 0.8402      | 0.9925      | 0.8456      | 
| 1130.png                 | 0.9319      | 0.8724      | 0.9750      | 0.8924      | 
| 1131.png                 | 0.9323      | 0.8732      | 0.9879      | 0.8826      | 
| 1132.png                 | 0.9354      | 0.8786      | 0.9552      | 0.9164      | 
| 1133.png                 | 0.7354      | 0.5816      | 0.7301      | 0.7409      | 
| 1134.png                 | 0.8493      | 0.7380      | 0.9798      | 0.7495      | 
| 1135.png                 | 0.8717      | 0.7726      | 0.8225      | 0.9272      | 
| 1136.png                 | 0.8418      | 0.7268      | 0.7575      | 0.9473      | 
| 1137.png                 | 0.8763      | 0.7799      | 0.9558      | 0.8090      | 
| 1138.png                 | 0.3951      | 0.2462      | 0.2971      | 0.5898      | 
| 114.png                  | 0.9287      | 0.8669      | 0.9794      | 0.8830      | 
| 1140.png                 | 0.7958      | 0.6608      | 0.8655      | 0.7365      | 
| 1141.png                 | 0.7791      | 0.6381      | 0.8282      | 0.7355      | 
| 1142.png                 | 0.8208      | 0.6961      | 0.8456      | 0.7975      | 
| 1143.png                 | 0.7206      | 0.5632      | 0.7653      | 0.6808      | 
| 1144.png                 | 0.8016      | 0.6688      | 0.7852      | 0.8186      | 
| 1145.png                 | 0.8319      | 0.7122      | 0.7871      | 0.8821      | 
| 1146.png                 | 0.9223      | 0.8558      | 0.9818      | 0.8696      | 
| 1147.png                 | 0.8426      | 0.7280      | 0.9116      | 0.7833      | 
| 1148.png                 | 0.4371      | 0.2797      | 0.9733      | 0.2819      | 
| 1149.png                 | 0.5276      | 0.3583      | 0.9820      | 0.3607      | 
| 115.png                  | 0.9130      | 0.8399      | 1.0000      | 0.8399      | 
| 1151.png                 | 0.6723      | 0.5064      | 0.6176      | 0.7377      | 
| 1152.png                 | 0.4086      | 0.2568      | 0.2811      | 0.7477      | 
| 1154.png                 | 0.8578      | 0.7510      | 0.7996      | 0.9251      | 
| 1155.png                 | 0.3047      | 0.1798      | 0.1803      | 0.9831      | 
| 1156.png                 | 0.6095      | 0.4383      | 0.4516      | 0.9372      | 
| 1157.png                 | 0.9339      | 0.8761      | 0.9519      | 0.9167      | 
| 1158.png                 | 0.8977      | 0.8143      | 0.9825      | 0.8263      | 
| 1159.png                 | 0.9159      | 0.8449      | 0.9873      | 0.8542      | 
| 116.png                  | 0.8818      | 0.7885      | 0.9928      | 0.7931      | 
| 1160.png                 | 0.8212      | 0.6966      | 0.7524      | 0.9038      | 
| 1161.png                 | 0.8429      | 0.7284      | 0.8445      | 0.8413      | 
| 1162.png                 | 0.8405      | 0.7248      | 0.9851      | 0.7329      | 
| 1163.png                 | 0.6714      | 0.5053      | 0.5369      | 0.8959      | 
| 1169.png                 | 0.9244      | 0.8594      | 0.9533      | 0.8972      | 
| 117.png                  | 0.4892      | 0.3238      | 0.9616      | 0.3280      | 
| 1170.png                 | 0.9548      | 0.9135      | 0.9618      | 0.9479      | 
| 1171.png                 | 0.9560      | 0.9157      | 0.9814      | 0.9319      | 
| 1172.png                 | 0.9497      | 0.9041      | 0.9782      | 0.9227      | 
| 1173.png                 | 0.9694      | 0.9406      | 0.9938      | 0.9461      | 
| 1174.png                 | 0.9620      | 0.9269      | 0.9826      | 0.9424      | 
| 1175.png                 | 0.8057      | 0.6746      | 0.7402      | 0.8839      | 
| 1176.png                 | 0.8670      | 0.7652      | 0.9554      | 0.7935      | 
| 1177.png                 | 0.6550      | 0.4870      | 0.5076      | 0.9230      | 
| 1178.png                 | 0.5771      | 0.4055      | 0.4170      | 0.9368      | 
| 1179.png                 | 0.6917      | 0.5287      | 0.5586      | 0.9081      | 
| 118.png                  | 0.9114      | 0.8372      | 0.9946      | 0.8410      | 
| 1180.png                 | 0.6773      | 0.5121      | 0.5287      | 0.9421      | 
| 1182.png                 | 0.3952      | 0.2463      | 0.2599      | 0.8241      | 
| 1183.png                 | 0.7598      | 0.6126      | 0.6701      | 0.8771      | 
| 1184.png                 | 0.7829      | 0.6432      | 0.6628      | 0.9561      | 
| 1185.png                 | 0.8405      | 0.7249      | 0.7810      | 0.9099      | 
| 1186.png                 | 0.8491      | 0.7378      | 0.8145      | 0.8868      | 
| 1187.png                 | 0.7505      | 0.6006      | 0.6407      | 0.9057      | 
| 1188.png                 | 0.6113      | 0.4402      | 0.5165      | 0.7488      | 
| 1194.png                 | 0.6603      | 0.4929      | 0.5529      | 0.8197      | 
| 1195.png                 | 0.5860      | 0.4145      | 0.4807      | 0.7505      | 
| 1197.png                 | 0.0394      | 0.0201      | 0.0201      | 0.9211      | 
| 12.png                   | 0.9662      | 0.9346      | 0.9803      | 0.9525      | 
| 1202.png                 | 0.3628      | 0.2216      | 0.2555      | 0.6256      | 
| 1205.png                 | 0.8058      | 0.6747      | 0.7863      | 0.8263      | 
| 1219.png                 | 0.6437      | 0.4746      | 0.5262      | 0.8287      | 
| 1220.png                 | 0.9223      | 0.8557      | 0.9504      | 0.8957      | 
| 1221.png                 | 0.8395      | 0.7234      | 0.9427      | 0.7567      | 
| 1222.png                 | 0.8128      | 0.6846      | 0.8683      | 0.7639      | 
| 1223.png                 | 0.7951      | 0.6599      | 0.9284      | 0.6954      | 
| 1224.png                 | 0.4679      | 0.3054      | 0.3434      | 0.7340      | 
| 1225.png                 | 0.4970      | 0.3307      | 0.9109      | 0.3418      | 
| 1226.png                 | 0.8111      | 0.6822      | 0.9503      | 0.7074      | 
| 1227.png                 | 0.7978      | 0.6636      | 0.7735      | 0.8237      | 
| 1228.png                 | 0.3672      | 0.2249      | 0.2451      | 0.7314      | 
| 1230.png                 | 0.7054      | 0.5449      | 0.7894      | 0.6375      | 
| 1236.png                 | 0.4025      | 0.2520      | 0.2650      | 0.8373      | 
| 124.png                  | 0.9227      | 0.8564      | 0.9806      | 0.8712      | 
| 1244.png                 | 0.6637      | 0.4967      | 0.5179      | 0.9240      | 
| 1245.png                 | 0.7695      | 0.6253      | 0.6473      | 0.9485      | 
| 1246.png                 | 0.8983      | 0.8154      | 0.8419      | 0.9628      | 
| 1247.png                 | 0.8926      | 0.8060      | 0.8611      | 0.9264      | 
| 1248.png                 | 0.9233      | 0.8575      | 0.8802      | 0.9708      | 
| 1249.png                 | 0.9046      | 0.8259      | 0.8401      | 0.9799      | 
| 1250.png                 | 0.9113      | 0.8370      | 0.8700      | 0.9567      | 
| 1251.png                 | 0.6312      | 0.4611      | 0.4795      | 0.9233      | 
| 1252.png                 | 0.6768      | 0.5114      | 0.5309      | 0.9330      | 
| 1253.png                 | 0.6696      | 0.5033      | 0.5285      | 0.9133      | 
| 1254.png                 | 0.6059      | 0.4346      | 0.4498      | 0.9281      | 
| 1255.png                 | 0.4329      | 0.2762      | 0.2858      | 0.8919      | 
| 1256.png                 | 0.5602      | 0.3891      | 0.4138      | 0.8670      | 
| 1257.png                 | 0.5907      | 0.4192      | 0.4339      | 0.9249      | 
| 1258.png                 | 0.6546      | 0.4866      | 0.5162      | 0.8944      | 
| 1259.png                 | 0.5713      | 0.3999      | 0.4087      | 0.9490      | 
| 1260.png                 | 0.5869      | 0.4153      | 0.4330      | 0.9104      | 
| 1261.png                 | 0.8551      | 0.7468      | 0.8210      | 0.8921      | 
| 1262.png                 | 0.8909      | 0.8033      | 0.8170      | 0.9796      | 
| 1264.png                 | 0.9119      | 0.8381      | 0.9670      | 0.8628      | 
| 1265.png                 | 0.4060      | 0.2547      | 0.2615      | 0.9076      | 
| 1266.png                 | 0.8925      | 0.8058      | 0.9115      | 0.8742      | 
| 1273.png                 | 0.5051      | 0.3379      | 0.3441      | 0.9487      | 
| 1274.png                 | 0.5762      | 0.4047      | 0.4118      | 0.9590      | 
| 1276.png                 | 0.9482      | 0.9016      | 0.9978      | 0.9034      | 
| 1277.png                 | 0.9281      | 0.8658      | 0.9958      | 0.8690      | 
| 1278.png                 | 0.9360      | 0.8798      | 0.9902      | 0.8875      | 
| 1281.png                 | 0.4215      | 0.2670      | 0.8271      | 0.2828      | 
| 1282.png                 | 0.4755      | 0.3119      | 0.8710      | 0.3270      | 
| 1285.png                 | 0.5485      | 0.3779      | 0.3861      | 0.9469      | 
| 1286.png                 | 0.4664      | 0.3042      | 0.3092      | 0.9494      | 
| 1287.png                 | 0.7549      | 0.6063      | 0.9635      | 0.6206      | 
| 1289.png                 | 0.3578      | 0.2179      | 0.2234      | 0.8973      | 
| 1291.png                 | 0.6715      | 0.5054      | 0.5432      | 0.8791      | 
| 1293.png                 | 0.7635      | 0.6175      | 0.6434      | 0.9387      | 
| 1294.png                 | 0.8737      | 0.7757      | 0.9182      | 0.8332      | 
| 1296.png                 | 0.0000      | 0.0000      | 0.0000      | 0.0000      | 
| 1297.png                 | 0.3699      | 0.2269      | 0.2592      | 0.6459      | 
| 1298.png                 | 0.6395      | 0.4701      | 0.7286      | 0.5699      | 
| 1299.png                 | 0.7657      | 0.6204      | 0.9418      | 0.6451      | 
| 13.png                   | 0.9617      | 0.9262      | 0.9877      | 0.9370      | 
