
==================== BANG DANH GIA MASK ====================
------------------------------------------------------------------------------------
| File                     | Dice        | IoU         | Precision   | Recall      |
| 1103.png                 | 0.4795      | 0.3154      | 0.8504      | 0.3339      |
| 1104.png                 | 0.3606      | 0.2199      | 1.0000      | 0.2199      |
| 1105.png                 | 0.4527      | 0.2926      | 0.9952      | 0.2930      |
| 1106.png                 | 0.5310      | 0.3615      | 1.0000      | 0.3615      |
| 1107.png                 | 0.7055      | 0.5450      | 0.9978      | 0.5457      |
| 1108.png                 | 0.6870      | 0.5232      | 0.9088      | 0.5522      |
| 1110.png                 | 0.7164      | 0.5581      | 1.0000      | 0.5581      |
| 1111.png                 | 0.7421      | 0.5900      | 0.9946      | 0.5919      |
| 1114.png                 | 0.8242      | 0.7010      | 0.7396      | 0.9307      |
| 1118.png                 | 0.3375      | 0.2030      | 0.7221      | 0.2202      |
| 112.png                  | 0.8573      | 0.7503      | 0.9329      | 0.7931      |
| 1122.png                 | 0.9082      | 0.8318      | 0.9735      | 0.8511      |
| 1123.png                 | 0.8450      | 0.7316      | 0.9060      | 0.7916      |
| 1125.png                 | 0.7575      | 0.6097      | 0.6863      | 0.8451      |
| 1126.png                 | 0.9004      | 0.8189      | 0.8942      | 0.9068      |
| 1127.png                 | 0.7814      | 0.6412      | 0.6889      | 0.9025      |
| 1129.png                 | 0.7838      | 0.6445      | 0.9987      | 0.6450      |
| 113.png                  | 0.8962      | 0.8120      | 0.9938      | 0.8161      |
| 1130.png                 | 0.9249      | 0.8603      | 0.9878      | 0.8695      |
| 1131.png                 | 0.9176      | 0.8478      | 0.9950      | 0.8514      |
| 1132.png                 | 0.9380      | 0.8832      | 0.9762      | 0.9026      |
| 1133.png                 | 0.7563      | 0.6081      | 0.7887      | 0.7265      |
| 1134.png                 | 0.8308      | 0.7105      | 0.9846      | 0.7185      |
| 1135.png                 | 0.8844      | 0.7928      | 0.8757      | 0.8933      |
| 1136.png                 | 0.8599      | 0.7542      | 0.8083      | 0.9184      |
| 1137.png                 | 0.8672      | 0.7655      | 0.9774      | 0.7793      |
| 1138.png                 | 0.3431      | 0.2071      | 0.2684      | 0.4754      |
| 114.png                  | 0.9108      | 0.8363      | 0.9858      | 0.8465      |
| 1140.png                 | 0.7119      | 0.5527      | 0.8944      | 0.5913      |
| 1141.png                 | 0.7411      | 0.5888      | 0.8628      | 0.6495      |
| 1142.png                 | 0.7935      | 0.6577      | 0.8746      | 0.7261      |
| 1143.png                 | 0.6912      | 0.5281      | 0.9966      | 0.5291      |
| 1144.png                 | 0.8087      | 0.6789      | 0.8397      | 0.7800      |
| 1145.png                 | 0.8341      | 0.7154      | 0.8456      | 0.8229      |
| 1146.png                 | 0.8922      | 0.8053      | 0.9955      | 0.8083      |
| 1147.png                 | 0.8156      | 0.6886      | 0.9516      | 0.7136      |
| 1148.png                 | 0.3924      | 0.2441      | 0.9820      | 0.2452      |
| 1149.png                 | 0.4552      | 0.2947      | 0.9868      | 0.2958      |
| 115.png                  | 0.8966      | 0.8126      | 1.0000      | 0.8126      |
| 1151.png                 | 0.6812      | 0.5166      | 0.7306      | 0.6381      |
| 1152.png                 | 0.3898      | 0.2421      | 0.2752      | 0.6679      |
| 1154.png                 | 0.9130      | 0.8400      | 0.9452      | 0.8830      |
| 1155.png                 | 0.7942      | 0.6587      | 0.6903      | 0.9350      |
| 1156.png                 | 0.6645      | 0.4975      | 0.5239      | 0.9080      |
| 1157.png                 | 0.9068      | 0.8295      | 0.9709      | 0.8507      |
| 1158.png                 | 0.8621      | 0.7577      | 0.9979      | 0.7589      |
| 1159.png                 | 0.8797      | 0.7853      | 0.9958      | 0.7879      |
| 116.png                  | 0.8666      | 0.7645      | 0.9974      | 0.7661      |
| 1160.png                 | 0.8546      | 0.7462      | 0.8464      | 0.8630      |
| 1161.png                 | 0.8631      | 0.7592      | 0.9011      | 0.8282      |
| 1162.png                 | 0.8221      | 0.6980      | 0.9944      | 0.7008      |
| 1163.png                 | 0.9129      | 0.8397      | 0.9741      | 0.8589      |
| 1169.png                 | 0.9394      | 0.8857      | 0.9596      | 0.9200      |
| 117.png                  | 0.4695      | 0.3068      | 0.9655      | 0.3102      |
| 1170.png                 | 0.9575      | 0.9185      | 0.9695      | 0.9458      |
| 1171.png                 | 0.9335      | 0.8753      | 0.9853      | 0.8868      |
| 1172.png                 | 0.9406      | 0.8879      | 0.9863      | 0.8990      |
| 1173.png                 | 0.9502      | 0.9051      | 0.9960      | 0.9085      |
| 1174.png                 | 0.9496      | 0.9040      | 0.9921      | 0.9105      |
| 1175.png                 | 0.8309      | 0.7107      | 0.7846      | 0.8830      |
| 1176.png                 | 0.8172      | 0.6909      | 0.9766      | 0.7026      |
| 1177.png                 | 0.6640      | 0.4971      | 0.5449      | 0.8499      |
| 1178.png                 | 0.7399      | 0.5872      | 0.6334      | 0.8895      |
| 1179.png                 | 0.7624      | 0.6160      | 0.6694      | 0.8854      |
| 118.png                  | 0.8971      | 0.8134      | 0.9985      | 0.8144      |
| 1180.png                 | 0.6962      | 0.5340      | 0.5678      | 0.8998      |
| 1182.png                 | 0.5568      | 0.3858      | 0.4272      | 0.7993      |
| 1183.png                 | 0.9146      | 0.8427      | 0.9738      | 0.8622      |
| 1184.png                 | 0.8888      | 0.7999      | 0.8333      | 0.9523      |
| 1185.png                 | 0.8810      | 0.7873      | 0.8710      | 0.8912      |
| 1186.png                 | 0.9252      | 0.8607      | 0.9930      | 0.8660      |
| 1187.png                 | 0.8481      | 0.7362      | 0.8085      | 0.8917      |
| 1188.png                 | 0.6237      | 0.4532      | 0.5408      | 0.7366      |
| 1194.png                 | 0.7077      | 0.5477      | 0.6615      | 0.7609      |
| 1195.png                 | 0.6727      | 0.5068      | 0.6364      | 0.7134      |
| 1197.png                 | 0.5677      | 0.3964      | 0.4271      | 0.8464      |
| 12.png                   | 0.9594      | 0.9219      | 0.9874      | 0.9329      |
| 1202.png                 | 0.3536      | 0.2148      | 0.2621      | 0.5431      |
| 1205.png                 | 0.8259      | 0.7034      | 1.0000      | 0.7034      |
| 1219.png                 | 0.6333      | 0.4634      | 0.5214      | 0.8062      |
| 1220.png                 | 0.9205      | 0.8528      | 0.9611      | 0.8833      |
| 1221.png                 | 0.8192      | 0.6938      | 0.9479      | 0.7213      |
| 1222.png                 | 0.8011      | 0.6682      | 0.8967      | 0.7239      |
| 1223.png                 | 0.7714      | 0.6278      | 0.9355      | 0.6562      |
| 1224.png                 | 0.4860      | 0.3210      | 0.3735      | 0.6958      |
| 1225.png                 | 0.4334      | 0.2767      | 0.9426      | 0.2814      |
| 1226.png                 | 0.7393      | 0.5864      | 0.9763      | 0.5949      |
| 1227.png                 | 0.7591      | 0.6117      | 0.7818      | 0.7377      |
| 1228.png                 | 0.3585      | 0.2184      | 0.2430      | 0.6832      |
| 1230.png                 | 0.7283      | 0.5728      | 0.9172      | 0.6040      |
| 1236.png                 | 0.4145      | 0.2614      | 0.3007      | 0.6670      |
| 124.png                  | 0.8713      | 0.7719      | 0.9964      | 0.7740      |
| 1244.png                 | 0.9198      | 0.8515      | 0.9274      | 0.9123      |
| 1245.png                 | 0.8358      | 0.7179      | 0.7613      | 0.9265      |
| 1246.png                 | 0.9065      | 0.8290      | 0.8608      | 0.9573      |
| 1247.png                 | 0.8930      | 0.8067      | 0.8674      | 0.9202      |
| 1248.png                 | 0.9105      | 0.8358      | 0.8900      | 0.9320      |
| 1249.png                 | 0.9046      | 0.8258      | 0.8584      | 0.9560      |
| 1250.png                 | 0.9190      | 0.8502      | 0.8871      | 0.9533      |
| 1251.png                 | 0.6309      | 0.4608      | 0.4939      | 0.8730      |
| 1252.png                 | 0.6833      | 0.5190      | 0.5484      | 0.9063      |
| 1253.png                 | 0.7139      | 0.5551      | 0.6020      | 0.8769      |
| 1254.png                 | 0.6015      | 0.4301      | 0.4580      | 0.8759      |
| 1255.png                 | 0.4428      | 0.2844      | 0.3016      | 0.8326      |
| 1256.png                 | 0.5453      | 0.3749      | 0.4173      | 0.7867      |
| 1257.png                 | 0.5677      | 0.3964      | 0.4295      | 0.8370      |
| 1258.png                 | 0.6316      | 0.4616      | 0.5171      | 0.8113      |
| 1259.png                 | 0.5747      | 0.4033      | 0.4253      | 0.8861      |
| 1260.png                 | 0.6248      | 0.4543      | 0.4871      | 0.8707      |
| 1261.png                 | 0.8830      | 0.7905      | 0.9053      | 0.8617      |
| 1262.png                 | 0.8790      | 0.7840      | 0.8333      | 0.9299      |
| 1264.png                 | 0.8768      | 0.7807      | 0.9771      | 0.7953      |
| 1265.png                 | 0.4034      | 0.2526      | 0.2666      | 0.8287      |
| 1266.png                 | 0.6569      | 0.4891      | 0.9812      | 0.4937      |
| 1273.png                 | 0.5134      | 0.3453      | 0.3560      | 0.9201      |
| 1274.png                 | 0.7421      | 0.5899      | 0.6142      | 0.9372      |
| 1276.png                 | 0.9306      | 0.8701      | 0.9977      | 0.8719      |
