
==================== BANG DANH GIA MASK ====================
------------------------------------------------------------------------------------
| File                     | Dice        | IoU         | Precision   | Recall      | 
| 1101.png                 | 0.7267      | 0.5707      | 0.8876      | 0.6151      | 
| 1102.png                 | 0.7009      | 0.5395      | 0.9958      | 0.5407      | 
| 1103.png                 | 0.5443      | 0.3739      | 0.8347      | 0.4038      | 
| 1104.png                 | 0.5670      | 0.3956      | 0.9521      | 0.4037      | 
| 1105.png                 | 0.6066      | 0.4354      | 0.9938      | 0.4365      | 
| 1106.png                 | 0.7594      | 0.6121      | 0.9915      | 0.6153      | 
| 1107.png                 | 0.7639      | 0.6179      | 0.9913      | 0.6213      | 
| 1108.png                 | 0.7241      | 0.5675      | 0.8642      | 0.6231      | 
| 1110.png                 | 0.7559      | 0.6075      | 0.9992      | 0.6078      | 
| 1111.png                 | 0.7788      | 0.6377      | 0.9797      | 0.6462      | 
| 1114.png                 | 0.7524      | 0.6031      | 0.6189      | 0.9595      | 
| 1118.png                 | 0.8889      | 0.8000      | 0.8269      | 0.9610      | 
| 112.png                  | 0.8649      | 0.7620      | 0.9100      | 0.8240      | 
| 1122.png                 | 0.9337      | 0.8757      | 0.9642      | 0.9051      | 
| 1123.png                 | 0.7490      | 0.5987      | 0.6836      | 0.8282      | 
| 1125.png                 | 0.5079      | 0.3404      | 0.3524      | 0.9091      | 
| 1126.png                 | 0.5609      | 0.3898      | 0.3975      | 0.9527      | 
| 1127.png                 | 0.5447      | 0.3743      | 0.3795      | 0.9644      | 
| 1129.png                 | 0.7889      | 0.6514      | 0.9987      | 0.6520      | 
| 113.png                  | 0.9136      | 0.8409      | 0.9925      | 0.8463      | 
| 1130.png                 | 0.9322      | 0.8730      | 0.9750      | 0.8929      | 
| 1131.png                 | 0.9334      | 0.8752      | 0.9879      | 0.8846      | 
| 1132.png                 | 0.9339      | 0.8760      | 0.9521      | 0.9164      | 
| 1133.png                 | 0.7347      | 0.5807      | 0.7286      | 0.7409      | 
| 1134.png                 | 0.8503      | 0.7396      | 0.9789      | 0.7516      | 
| 1135.png                 | 0.7817      | 0.6417      | 0.6728      | 0.9327      | 
| 1136.png                 | 0.8174      | 0.6912      | 0.7132      | 0.9572      | 
| 1137.png                 | 0.8730      | 0.7746      | 0.9388      | 0.8158      | 
| 1138.png                 | 0.4285      | 0.2727      | 0.3108      | 0.6898      | 
| 114.png                  | 0.9295      | 0.8683      | 0.9776      | 0.8859      | 
| 1140.png                 | 0.8044      | 0.6728      | 0.8529      | 0.7610      | 
| 1141.png                 | 0.8020      | 0.6694      | 0.8188      | 0.7859      | 
| 1142.png                 | 0.8235      | 0.6999      | 0.8352      | 0.8121      | 
| 1143.png                 | 0.7286      | 0.5730      | 0.7654      | 0.6951      | 
| 1144.png                 | 0.7993      | 0.6657      | 0.7758      | 0.8243      | 
| 1145.png                 | 0.8272      | 0.7054      | 0.7646      | 0.9011      | 
| 1146.png                 | 0.9305      | 0.8701      | 0.9762      | 0.8889      | 
| 1147.png                 | 0.8611      | 0.7561      | 0.9071      | 0.8196      | 
| 1148.png                 | 0.4439      | 0.2853      | 0.9717      | 0.2876      | 
| 1149.png                 | 0.5386      | 0.3686      | 0.9808      | 0.3713      | 
| 115.png                  | 0.9130      | 0.8399      | 1.0000      | 0.8399      | 
| 1151.png                 | 0.6656      | 0.4988      | 0.6001      | 0.7470      | 
| 1152.png                 | 0.4098      | 0.2577      | 0.2819      | 0.7505      | 
| 1154.png                 | 0.3644      | 0.2228      | 0.2252      | 0.9542      | 
| 1155.png                 | 0.2953      | 0.1732      | 0.1734      | 0.9945      | 
| 1156.png                 | 0.5959      | 0.4244      | 0.4367      | 0.9378      | 
| 1157.png                 | 0.9380      | 0.8833      | 0.9486      | 0.9277      | 
| 1158.png                 | 0.9185      | 0.8493      | 0.9779      | 0.8659      | 
| 1159.png                 | 0.9314      | 0.8715      | 0.9845      | 0.8836      | 
| 116.png                  | 0.8818      | 0.7885      | 0.9928      | 0.7931      | 
| 1160.png                 | 0.8078      | 0.6775      | 0.7297      | 0.9046      | 
| 1161.png                 | 0.5450      | 0.3746      | 0.4014      | 0.8485      | 
| 1162.png                 | 0.8423      | 0.7276      | 0.9813      | 0.7378      | 
| 1163.png                 | 0.6458      | 0.4769      | 0.4961      | 0.9247      | 
| 1169.png                 | 0.9226      | 0.8563      | 0.9507      | 0.8961      | 
| 117.png                  | 0.4893      | 0.3239      | 0.9616      | 0.3281      | 
| 1170.png                 | 0.9463      | 0.8980      | 0.9446      | 0.9479      | 
| 1171.png                 | 0.9479      | 0.9009      | 0.9624      | 0.9338      | 
| 1172.png                 | 0.9513      | 0.9072      | 0.9783      | 0.9258      | 
| 1173.png                 | 0.9663      | 0.9349      | 0.9868      | 0.9468      | 
| 1174.png                 | 0.9554      | 0.9145      | 0.9685      | 0.9426      | 
| 1175.png                 | 0.6756      | 0.5102      | 0.5468      | 0.8839      | 
| 1176.png                 | 0.8769      | 0.7808      | 0.9538      | 0.8114      | 
| 1177.png                 | 0.6405      | 0.4711      | 0.4901      | 0.9239      | 
| 1178.png                 | 0.5748      | 0.4033      | 0.4110      | 0.9557      | 
| 1179.png                 | 0.6801      | 0.5153      | 0.5409      | 0.9157      | 
| 118.png                  | 0.9114      | 0.8372      | 0.9946      | 0.8410      | 
| 1180.png                 | 0.6429      | 0.4737      | 0.4879      | 0.9421      | 
| 1182.png                 | 0.3876      | 0.2404      | 0.2534      | 0.8241      | 
| 1183.png                 | 0.7565      | 0.6084      | 0.6651      | 0.8771      | 
| 1184.png                 | 0.7754      | 0.6332      | 0.6522      | 0.9561      | 
| 1185.png                 | 0.8310      | 0.7108      | 0.7641      | 0.9107      | 
| 1186.png                 | 0.8249      | 0.7020      | 0.7702      | 0.8879      | 
| 1187.png                 | 0.7289      | 0.5735      | 0.6099      | 0.9057      | 
| 1188.png                 | 0.6063      | 0.4351      | 0.5094      | 0.7488      | 
| 1194.png                 | 0.6296      | 0.4594      | 0.5110      | 0.8197      | 
| 1195.png                 | 0.1958      | 0.1085      | 0.1125      | 0.7525      | 
| 1197.png                 | 0.0393      | 0.0200      | 0.0201      | 0.9211      | 
| 12.png                   | 0.9662      | 0.9346      | 0.9800      | 0.9527      | 
| 1202.png                 | 0.3981      | 0.2485      | 0.2760      | 0.7135      | 
| 1205.png                 | 0.4906      | 0.3250      | 0.3399      | 0.8814      | 
| 1219.png                 | 0.6437      | 0.4746      | 0.5262      | 0.8287      | 
| 1220.png                 | 0.9220      | 0.8553      | 0.9499      | 0.8957      | 
| 1221.png                 | 0.8396      | 0.7235      | 0.9423      | 0.7571      | 
| 1222.png                 | 0.8131      | 0.6850      | 0.8641      | 0.7677      | 
| 1223.png                 | 0.7959      | 0.6610      | 0.9285      | 0.6965      | 
| 1224.png                 | 0.4681      | 0.3056      | 0.3435      | 0.7347      | 
| 1225.png                 | 0.4970      | 0.3307      | 0.9109      | 0.3418      | 
| 1226.png                 | 0.8121      | 0.6836      | 0.9446      | 0.7122      | 
| 1227.png                 | 0.7986      | 0.6648      | 0.7738      | 0.8251      | 
| 1228.png                 | 0.2928      | 0.1715      | 0.1830      | 0.7314      | 
| 1230.png                 | 0.7015      | 0.5403      | 0.7783      | 0.6386      | 
| 1236.png                 | 0.3186      | 0.1895      | 0.1903      | 0.9784      | 
| 124.png                  | 0.9219      | 0.8552      | 0.9681      | 0.8800      | 
| 1244.png                 | 0.6577      | 0.4900      | 0.5106      | 0.9240      | 
| 1245.png                 | 0.5196      | 0.3510      | 0.3577      | 0.9493      | 
| 1246.png                 | 0.8983      | 0.8154      | 0.8419      | 0.9628      | 
| 1247.png                 | 0.8926      | 0.8060      | 0.8611      | 0.9264      | 
| 1248.png                 | 0.9240      | 0.8588      | 0.8797      | 0.9731      | 
| 1249.png                 | 0.9076      | 0.8309      | 0.8409      | 0.9859      | 
| 1250.png                 | 0.9113      | 0.8370      | 0.8700      | 0.9567      | 
| 1251.png                 | 0.6055      | 0.4342      | 0.4499      | 0.9257      | 
| 1252.png                 | 0.6449      | 0.4759      | 0.4929      | 0.9323      | 
| 1253.png                 | 0.6590      | 0.4914      | 0.5150      | 0.9146      | 
| 1254.png                 | 0.5845      | 0.4129      | 0.4202      | 0.9598      | 
| 1255.png                 | 0.4307      | 0.2745      | 0.2799      | 0.9333      | 
| 1256.png                 | 0.5427      | 0.3724      | 0.3947      | 0.8681      | 
| 1257.png                 | 0.5833      | 0.4117      | 0.4251      | 0.9289      | 
| 1258.png                 | 0.6602      | 0.4927      | 0.5180      | 0.9100      | 
| 1259.png                 | 0.5675      | 0.3961      | 0.4040      | 0.9534      | 
| 1260.png                 | 0.5865      | 0.4149      | 0.4326      | 0.9104      | 
| 1261.png                 | 0.8552      | 0.7470      | 0.8205      | 0.8930      | 
| 1262.png                 | 0.8918      | 0.8047      | 0.8173      | 0.9812      | 
| 1264.png                 | 0.9123      | 0.8388      | 0.9670      | 0.8635      | 
| 1265.png                 | 0.4146      | 0.2615      | 0.2666      | 0.9317      | 
| 1266.png                 | 0.8843      | 0.7926      | 0.8914      | 0.8774      | 
| 1273.png                 | 0.5022      | 0.3353      | 0.3399      | 0.9612      | 
| 1274.png                 | 0.5882      | 0.4166      | 0.4181      | 0.9914      | 
| 1276.png                 | 0.9482      | 0.9016      | 0.9978      | 0.9034      | 
| 1277.png                 | 0.9409      | 0.8883      | 0.9959      | 0.8916      | 
| 1278.png                 | 0.9463      | 0.8982      | 0.9839      | 0.9115      | 
| 1281.png                 | 0.4216      | 0.2671      | 0.8259      | 0.2830      | 
| 1282.png                 | 0.4755      | 0.3119      | 0.8710      | 0.3270      | 
| 1285.png                 | 0.4635      | 0.3016      | 0.3068      | 0.9469      | 
| 1286.png                 | 0.3137      | 0.1860      | 0.1878      | 0.9511      | 
| 1287.png                 | 0.7703      | 0.6264      | 0.9646      | 0.6412      | 
| 1289.png                 | 0.3452      | 0.2086      | 0.2137      | 0.8983      | 
| 1291.png                 | 0.6417      | 0.4724      | 0.5047      | 0.8809      | 
| 1293.png                 | 0.7547      | 0.6060      | 0.6310      | 0.9387      | 
| 1294.png                 | 0.8737      | 0.7757      | 0.9182      | 0.8332      | 
| 1296.png                 | 0.0000      | 0.0000      | 0.0000      | 0.0000      | 
| 1297.png                 | 0.3732      | 0.2294      | 0.2608      | 0.6557      | 
| 1298.png                 | 0.6693      | 0.5029      | 0.7381      | 0.6122      | 
| 1299.png                 | 0.8444      | 0.7308      | 0.9308      | 0.7727      | 
| 13.png                   | 0.9618      | 0.9265      | 0.9876      | 0.9374      | 
| 1300.png                 | 0.8909      | 0.8033      | 0.9944      | 0.8069      | 
| 1302.png                 | 0.5379      | 0.3679      | 0.3717      | 0.9726      | 
| 1303.png                 | 0.8556      | 0.7476      | 0.7654      | 0.9698      | 
| 1304.png                 | 0.3590      | 0.2188      | 0.3511      | 0.3673      | 
| 1305.png                 | 0.4157      | 0.2624      | 0.8638      | 0.2737      | 
| 1307.png                 | 0.9124      | 0.8389      | 0.9051      | 0.9198      | 
| 1308.png                 | 0.9047      | 0.8260      | 0.9486      | 0.8647      | 
| 1309.png                 | 0.9023      | 0.8220      | 0.8684      | 0.9389      | 
| 1310.png                 | 0.4271      | 0.2716      | 0.2815      | 0.8853      | 
| 1311.png                 | 0.8517      | 0.7416      | 0.7853      | 0.9303      | 
| 1312.png                 | 0.7886      | 0.6510      | 0.6832      | 0.9325      | 
| 1313.png                 | 0.9331      | 0.8745      | 0.9474      | 0.9192      | 
| 1314.png                 | 0.9300      | 0.8691      | 0.9349      | 0.9251      | 
| 1315.png                 | 0.9376      | 0.8825      | 0.9852      | 0.8944      | 
| 1317.png                 | 0.2766      | 0.1605      | 0.1617      | 0.9536      | 
| 1318.png                 | 0.7661      | 0.6208      | 0.6470      | 0.9388      | 
| 1319.png                 | 0.8981      | 0.8150      | 0.8621      | 0.9371      | 
| 132.png                  | 0.8468      | 0.7343      | 0.9943      | 0.7374      | 
| 1320.png                 | 0.8867      | 0.7964      | 0.8524      | 0.9238      | 
| 1321.png                 | 0.8334      | 0.7144      | 1.0000      | 0.7144      | 
| 1322.png                 | 0.7384      | 0.5853      | 1.0000      | 0.5853      | 
| 1323.png                 | 0.8069      | 0.6763      | 0.7134      | 0.9287      | 
| 1324.png                 | 0.8801      | 0.7859      | 1.0000      | 0.7859      | 
| 1325.png                 | 0.7914      | 0.6548      | 0.9888      | 0.6597      | 
| 1326.png                 | 0.7900      | 0.6529      | 0.8039      | 0.7766      | 
| 1327.png                 | 0.9353      | 0.8785      | 0.9368      | 0.9339      | 
| 1328.png                 | 0.9224      | 0.8559      | 0.9270      | 0.9178      | 
| 1329.png                 | 0.8202      | 0.6951      | 0.9891      | 0.7005      | 
| 133.png                  | 0.9516      | 0.9077      | 0.9954      | 0.9115      | 
| 1330.png                 | 0.6549      | 0.4869      | 0.5695      | 0.7705      | 
| 1333.png                 | 0.7541      | 0.6052      | 0.6562      | 0.8862      | 
| 1334.png                 | 0.7569      | 0.6089      | 0.9752      | 0.6185      | 
| 1335.png                 | 0.8981      | 0.8150      | 1.0000      | 0.8150      | 
| 1337.png                 | 0.8989      | 0.8163      | 0.9801      | 0.8301      | 
| 134.png                  | 0.9559      | 0.9155      | 0.9717      | 0.9406      | 
| 1345.png                 | 0.8528      | 0.7434      | 0.9910      | 0.7485      | 
