
==================== BANG DANH GIA MASK ====================
------------------------------------------------------------------------------------
| File                     | Dice        | IoU         | Precision   | Recall      | 
| 1101.png                 | 0.0111      | 0.0056      | 0.0056      | 0.8557      | 
| 1102.png                 | 0.0162      | 0.0082      | 0.0082      | 0.8606      | 
| 1103.png                 | 0.0365      | 0.0186      | 0.0187      | 0.7025      | 
| 1104.png                 | 0.0628      | 0.0324      | 0.0328      | 0.7147      | 
| 1105.png                 | 0.0724      | 0.0375      | 0.0381      | 0.7274      | 
| 1106.png                 | 0.0671      | 0.0347      | 0.0350      | 0.7896      | 
| 1107.png                 | 0.0202      | 0.0102      | 0.0102      | 0.8917      | 
| 1108.png                 | 0.0181      | 0.0091      | 0.0092      | 0.8808      | 
| 1110.png                 | 0.0247      | 0.0125      | 0.0125      | 0.9583      | 
| 1111.png                 | 0.0261      | 0.0132      | 0.0132      | 0.9318      | 
| 1114.png                 | 0.0401      | 0.0205      | 0.0205      | 0.9989      | 
| 1118.png                 | 0.0265      | 0.0134      | 0.0134      | 0.9883      | 
| 112.png                  | 0.0683      | 0.0354      | 0.0354      | 0.9489      | 
| 1122.png                 | 0.0363      | 0.0185      | 0.0185      | 0.9823      | 
| 1123.png                 | 0.0287      | 0.0146      | 0.0146      | 0.9653      | 
| 1125.png                 | 0.0373      | 0.0190      | 0.0190      | 0.9496      | 
| 1126.png                 | 0.0334      | 0.0170      | 0.0170      | 0.9885      | 
| 1127.png                 | 0.0303      | 0.0154      | 0.0154      | 0.9962      | 
| 1129.png                 | 0.0419      | 0.0214      | 0.0214      | 0.9804      | 
| 113.png                  | 0.0459      | 0.0235      | 0.0235      | 0.9962      | 
| 1130.png                 | 0.0639      | 0.0330      | 0.0330      | 0.9833      | 
| 1131.png                 | 0.0705      | 0.0365      | 0.0365      | 0.9816      | 
| 1132.png                 | 0.0520      | 0.0267      | 0.0267      | 0.9773      | 
| 1133.png                 | 0.0423      | 0.0216      | 0.0216      | 0.9547      | 
| 1134.png                 | 0.0197      | 0.0100      | 0.0100      | 0.9409      | 
| 1135.png                 | 0.0260      | 0.0131      | 0.0131      | 0.9967      | 
| 1136.png                 | 0.0290      | 0.0147      | 0.0147      | 0.9896      | 
| 1137.png                 | 0.0313      | 0.0159      | 0.0159      | 0.9554      | 
| 1138.png                 | 0.0184      | 0.0093      | 0.0093      | 0.9919      | 
| 114.png                  | 0.0584      | 0.0301      | 0.0301      | 0.9600      | 
| 1140.png                 | 0.0260      | 0.0132      | 0.0132      | 0.9391      | 
| 1141.png                 | 0.0278      | 0.0141      | 0.0141      | 0.9680      | 
| 1142.png                 | 0.0196      | 0.0099      | 0.0099      | 0.9811      | 
| 1143.png                 | 0.0351      | 0.0179      | 0.0179      | 0.9125      | 
| 1144.png                 | 0.0253      | 0.0128      | 0.0128      | 0.9528      | 
| 1145.png                 | 0.0318      | 0.0162      | 0.0162      | 0.9778      | 
| 1146.png                 | 0.0326      | 0.0166      | 0.0166      | 0.9788      | 
| 1147.png                 | 0.0260      | 0.0132      | 0.0132      | 0.9762      | 
| 1148.png                 | 0.0199      | 0.0101      | 0.0101      | 0.9318      | 
| 1149.png                 | 0.0195      | 0.0099      | 0.0099      | 0.9437      | 
| 115.png                  | 0.0748      | 0.0389      | 0.0389      | 1.0000      | 
| 1151.png                 | 0.0154      | 0.0077      | 0.0077      | 0.9377      | 
| 1152.png                 | 0.0154      | 0.0077      | 0.0077      | 0.9545      | 
| 1154.png                 | 0.0292      | 0.0148      | 0.0148      | 0.9865      | 
| 1155.png                 | 0.0295      | 0.0150      | 0.0150      | 0.9967      | 
| 1156.png                 | 0.0302      | 0.0153      | 0.0153      | 0.9867      | 
| 1157.png                 | 0.0377      | 0.0192      | 0.0192      | 0.9788      | 
| 1158.png                 | 0.0582      | 0.0300      | 0.0301      | 0.9289      | 
| 1159.png                 | 0.0556      | 0.0286      | 0.0286      | 0.9533      | 
| 116.png                  | 0.0953      | 0.0501      | 0.0501      | 0.9945      | 
| 1160.png                 | 0.0351      | 0.0179      | 0.0179      | 0.9992      | 
| 1161.png                 | 0.0460      | 0.0235      | 0.0236      | 0.9631      | 
| 1162.png                 | 0.0576      | 0.0297      | 0.0297      | 0.9874      | 
| 1163.png                 | 0.0596      | 0.0307      | 0.0307      | 0.9667      | 
| 1169.png                 | 0.0493      | 0.0253      | 0.0253      | 0.9656      | 
| 117.png                  | 0.1990      | 0.1105      | 0.1116      | 0.9205      | 
