
==================== BANG DANH GIA MASK ====================
------------------------------------------------------------------------------------
| File                     | Dice        | IoU         | Precision   | Recall      | 
| 1101.png                 | 0.0481      | 0.0246      | 0.0251      | 0.5956      | 
| 1102.png                 | 0.0367      | 0.0187      | 0.0195      | 0.3267      | 
| 1103.png                 | 0.0726      | 0.0377      | 0.0421      | 0.2651      | 
| 1104.png                 | 0.1225      | 0.0652      | 0.0779      | 0.2864      | 
| 1105.png                 | 0.1507      | 0.0815      | 0.0976      | 0.3306      | 
| 1106.png                 | 0.1848      | 0.1018      | 0.1194      | 0.4085      | 
| 1107.png                 | 0.0860      | 0.0449      | 0.0461      | 0.6255      | 
| 1108.png                 | 0.0752      | 0.0391      | 0.0402      | 0.5786      | 
| 1110.png                 | 0.1132      | 0.0600      | 0.0618      | 0.6692      | 
| 1111.png                 | 0.1108      | 0.0586      | 0.0607      | 0.6352      | 
| 1114.png                 | 0.1075      | 0.0568      | 0.0608      | 0.4655      | 
| 1118.png                 | 0.0269      | 0.0136      | 0.0144      | 0.1934      | 
| 112.png                  | 0.1831      | 0.1007      | 0.1058      | 0.6781      | 
| 1122.png                 | 0.1856      | 0.1023      | 0.1038      | 0.8738      | 
| 1123.png                 | 0.1549      | 0.0839      | 0.0858      | 0.7935      | 
| 1125.png                 | 0.1081      | 0.0571      | 0.0579      | 0.8175      | 
| 1126.png                 | 0.1174      | 0.0623      | 0.0629      | 0.8693      | 
| 1127.png                 | 0.1215      | 0.0647      | 0.0652      | 0.8818      | 
| 1129.png                 | 0.1147      | 0.0608      | 0.0633      | 0.6098      | 
| 113.png                  | 0.1359      | 0.0729      | 0.0746      | 0.7630      | 
| 1130.png                 | 0.1960      | 0.1086      | 0.1120      | 0.7850      | 
| 1131.png                 | 0.2221      | 0.1249      | 0.1287      | 0.8096      | 
| 1132.png                 | 0.1831      | 0.1008      | 0.1022      | 0.8803      | 
| 1133.png                 | 0.1193      | 0.0634      | 0.0656      | 0.6528      | 
| 1134.png                 | 0.0676      | 0.0350      | 0.0361      | 0.5334      | 
| 1135.png                 | 0.1122      | 0.0595      | 0.0608      | 0.7276      | 
| 1136.png                 | 0.1241      | 0.0662      | 0.0675      | 0.7658      | 
| 1137.png                 | 0.1335      | 0.0715      | 0.0734      | 0.7410      | 
| 1138.png                 | 0.0740      | 0.0384      | 0.0393      | 0.6446      | 
| 114.png                  | 0.1422      | 0.0766      | 0.0776      | 0.8505      | 
| 1140.png                 | 0.0986      | 0.0518      | 0.0531      | 0.6790      | 
| 1141.png                 | 0.1083      | 0.0572      | 0.0588      | 0.6872      | 
| 1142.png                 | 0.0888      | 0.0464      | 0.0470      | 0.7859      | 
| 1143.png                 | 0.1099      | 0.0581      | 0.0618      | 0.4946      | 
| 1144.png                 | 0.1174      | 0.0624      | 0.0631      | 0.8550      | 
